Order : buyer,360,384,[40.75183597144248;-12.269385859090697]
Order : lmp,360,384,[-357.94239109866453;13.309131598420787]
Order : lmp,360,384,[-158.3786634328152;19.146286367167516]
Order : lmp,360,384,[-120.48590737194655;25.366532695676494]
Order : lmp,360,384,[-101.69405353113147;31.323919816746137]
Order : lmp,360,384,[-89.68220643883397;37.24810513301245]
Order : lmp,360,384,[-81.0312974852743;43.45034551800871]
Order : lmp,360,384,[-30.281625830379063;52.09386515813346]
Order : lmp,360,384,[-29.570702395160083;63.92065110910752]
Order : lmp,360,384,[-28.874714626157;76.17713871579016]
Order : lmp,360,384,[-28.139975794259712;88.16670208588779]
Order : lmp,360,384,[-27.275735383636704;100.38853420349227]
Order : lmp,360,384,[-26.796701638110214;112.16922520881079]
Order : lmp,360,384,[-25.829267462217025;124.48234017981335]
Order : lmp,360,384,[-25.146590169177585;136.35518966535906]
Order : lmp,360,384,[-24.711581157687064;148.18187982759466]
Order : lmp,360,384,[-24.151269846034527;160.1645039836755]
Order : lmp,360,384,[-24.010859452512097;172.35876239579954]
Order : lmp,360,384,[-23.284183920356565;184.39204397015797]
Order : lmp,360,384,[-23.01190003523084;196.36696245558127]
Order : lmp,360,384,[-22.53258563085684;208.50693490940026]
Order : lmp,360,384,[-22.159795920677272;220.4551465396216]
Order : lmp,360,384,[-21.765443444302637;232.41154303715368]
Order : lmp,360,384,[-21.373450502716647;244.5313987045759]
Order : lmp,360,384,[-21.142927572555557;256.2822842753788]
Order : lmp,360,384,[-20.764377177300627;268.29745805576897]
Order : lmp,360,384,[-20.49855112330806;280.50788848003987]
Order : lmp,360,384,[-20.15882314553761;292.71641875247843]
Order : lmp,360,384,[-19.986448855599228;304.7615024540949]
Order : lmp,360,384,[-19.601030239370647;316.4985332957313]
Order : lmp,360,384,[-19.36898870315874;328.6491425324082]
Order : lmp,360,384,[-19.126297682705683;340.6346294298438]
Order : lmp,360,384,[-18.813542253028583;352.74314075883325]
Order : miso,360,384,[673.7453686106045;null]
Order : default broker,360,384,[44.74537366448115;-12.809777402277241]
ClearedTrade : 361,384,[673.7453686106045;37.588703780095365]
Order : buyer,361,384,[25.324288830973945;-19.743891065894566]
Order : lmp,361,384,[-96.21191094077378;33.23340545790577]
Order : lmp,361,384,[-86.71488948844474;39.32145051146523]
Order : lmp,361,384,[-78.13064496731025;45.40484586719827]
Order : lmp,361,384,[-29.617832876041696;62.30294297424469]
Order : lmp,361,384,[-28.604162206383737;74.21991073181994]
Order : lmp,361,384,[-28.1705399114497;86.18468323139585]
Order : lmp,361,384,[-27.416066798211048;98.19298784351564]
Order : lmp,361,384,[-26.558559129602724;110.34555875145665]
Order : lmp,361,384,[-25.96482275834751;122.19721701359107]
Order : lmp,361,384,[-25.46930741770149;133.86136782331445]
Order : lmp,361,384,[-24.69533307837085;146.09577524897634]
Order : lmp,361,384,[-24.420601673027353;158.00072672644006]
Order : lmp,361,384,[-23.86480374049144;170.03975739521013]
Order : lmp,361,384,[-23.532387381508872;182.22769550723726]
Order : lmp,361,384,[-22.968301206541266;194.3125786528396]
Order : lmp,361,384,[-22.609769169921286;206.19156067211765]
Order : lmp,361,384,[-22.189753602781412;218.35181430493185]
Order : lmp,361,384,[-21.71596033895986;230.0853422669858]
Order : lmp,361,384,[-21.373065283897283;242.28520760490753]
Order : lmp,361,384,[-21.158271708819008;254.2205454950665]
Order : lmp,361,384,[-20.752948710345656;266.06447775643335]
Order : lmp,361,384,[-20.527185128872652;278.178844372634]
Order : lmp,361,384,[-20.215863975122303;290.18126192853987]
Order : lmp,361,384,[-19.82527425513493;302.19372019202865]
Order : lmp,361,384,[-19.756232818348334;314.0419782837225]
Order : lmp,361,384,[-19.41429660677498;326.1887887330229]
Order : lmp,361,384,[-19.0097226535787;338.0779789702194]
Order : lmp,361,384,[-19.174564721735216;350.04143729278127]
Order : miso,361,384,[-0.8035218758658402;null]
Order : default broker,361,384,[-4.969690000000001;27.777680884200155]
Order : Sample,361,384,[40.92903446437854;-2.0552106725401593]
ClearedTrade : 362,384,[0.8035218758658402;16.45324255491214]
Order : buyer,362,384,[94.48735124952609;-5.2917135826951]
Order : lmp,362,384,[-96.77049682071159;33.46385031296101]
Order : lmp,362,384,[-86.33256096416069;39.364424381862925]
Order : lmp,362,384,[-78.66558524725583;45.42614345962552]
Order : lmp,362,384,[-29.870447374455047;62.36171149085975]
Order : lmp,362,384,[-28.988097599409382;74.78321515564558]
Order : lmp,362,384,[-27.991439903957822;86.93411916042784]
Order : lmp,362,384,[-27.340598985890335;98.53996903634508]
Order : lmp,362,384,[-26.60484059948121;110.83416406345773]
Order : lmp,362,384,[-26.10488485924812;122.61715776504752]
Order : lmp,362,384,[-25.278806232271915;134.71126379394508]
Order : lmp,362,384,[-25.030064697979622;146.85085415803]
Order : lmp,362,384,[-24.220539518766287;158.6835156831007]
Order : lmp,362,384,[-23.62462327947377;170.8994285653244]
Order : lmp,362,384,[-23.402546909321625;182.78458216810753]
Order : lmp,362,384,[-23.05610697506396;194.6645284144676]
Order : lmp,362,384,[-22.74545257566645;206.7297864535622]
Order : lmp,362,384,[-22.338998223946103;218.90551832782626]
Order : lmp,362,384,[-21.86230609035817;230.91132005830275]
Order : lmp,362,384,[-21.406009024272183;242.89572133925674]
Order : lmp,362,384,[-21.157047278289816;254.9230842571795]
Order : lmp,362,384,[-20.730633879267405;266.902296702037]
Order : lmp,362,384,[-20.48056606611262;279.1591808941611]
Order : lmp,362,384,[-20.12837777235751;290.81893063416106]
Order : lmp,362,384,[-19.954535624897183;302.86084672310056]
Order : lmp,362,384,[-19.604435142666283;314.95959891645765]
Order : lmp,362,384,[-19.35790713686793;326.94698031441186]
Order : lmp,362,384,[-19.27144671492791;339.1143413828605]
Order : lmp,362,384,[-18.87219113973512;351.0337065939416]
Order : miso,362,384,[-1.0942432785021765;null]
Order : default broker,362,384,[-4.969690000000001;26.1398056561114]
Order : Sample,362,384,[40.92903446437854;-7.210952149528583]
ClearedTrade : 363,384,[1.0942432785021765;6.009126791273819]
Order : buyer,363,384,[36.013799090892796;-13.883567205394902]
Order : lmp,363,384,[-97.00550094062159;33.31832363926189]
Order : lmp,363,384,[-86.24181729139947;39.432464679290405]
Order : lmp,363,384,[-78.35661956734766;45.23534036438847]
Order : lmp,363,384,[-29.820470365818913;62.465078817341436]
Order : lmp,363,384,[-28.65988086466046;74.38811374415207]
Order : lmp,363,384,[-28.18190570426986;86.7765031636699]
Order : lmp,363,384,[-27.212010626695996;98.46094247512316]
Order : lmp,363,384,[-26.554914107833948;110.59690706463823]
Order : lmp,363,384,[-25.94510581557998;122.28880676514048]
Order : lmp,363,384,[-25.488821017844376;134.40168991756997]
Order : lmp,363,384,[-24.915499427474465;146.46309593524583]
Order : lmp,363,384,[-24.404696033541192;158.59026451042183]
Order : lmp,363,384,[-23.882800248455062;170.5710818527401]
Order : lmp,363,384,[-23.624931137084292;182.4779261237212]
Order : lmp,363,384,[-23.16831994001254;194.7567175581496]
Order : lmp,363,384,[-22.536210740910878;206.71101217047237]
Order : lmp,363,384,[-22.142975048726594;218.87247622582527]
Order : lmp,363,384,[-21.790780305134916;230.77532040303723]
Order : lmp,363,384,[-21.594303025182025;242.76376189322696]
Order : lmp,363,384,[-21.074926744196596;254.81752297548664]
Order : lmp,363,384,[-20.76795701128256;266.73225968160796]
Order : lmp,363,384,[-20.47658908354283;278.80959308235947]
Order : lmp,363,384,[-20.194406826028366;290.7967935489698]
Order : lmp,363,384,[-19.82964740859592;302.8579567971475]
Order : lmp,363,384,[-19.609282901277947;314.9464693153299]
Order : lmp,363,384,[-19.412869740398715;326.75362543114505]
Order : lmp,363,384,[-19.230236213320584;339.00258970278713]
Order : lmp,363,384,[-18.88381530430712;350.74898393589376]
Order : miso,363,384,[-1.0165020450305065;null]
Order : default broker,363,384,[-4.969690000000001;24.365854067330933]
Order : Sample,363,384,[39.83479118587636;-7.991494036277167]
ClearedTrade : 364,384,[1.0165020450305065;11.569639337829086]
Order : buyer,364,384,[131.37564718538988;-3.805880394974788]
Order : lmp,364,384,[-97.31187573617716;33.44146621832857]
Order : lmp,364,384,[-86.60899894332704;39.484598591680715]
Order : lmp,364,384,[-78.53305880489484;45.479367640751654]
Order : lmp,364,384,[-29.600754499838022;62.72635626338996]
Order : lmp,364,384,[-28.875119212229478;74.68462827655607]
Order : lmp,364,384,[-27.812888971163073;86.7407949838828]
Order : lmp,364,384,[-27.149154551167452;98.75705619192166]
Order : lmp,364,384,[-26.64781540820557;110.5120680984459]
Order : lmp,364,384,[-25.932488592072634;122.67505085481123]
Order : lmp,364,384,[-25.305717013298175;134.60107920006263]
Order : lmp,364,384,[-25.038461101552848;146.83179142357267]
Order : lmp,364,384,[-24.15970667193664;158.42363601316984]
Order : lmp,364,384,[-23.783295438686604;170.83613362470618]
Order : lmp,364,384,[-23.399115717848687;182.7537511089248]
Order : lmp,364,384,[-22.691872097762992;194.63643948429575]
Order : lmp,364,384,[-22.638415528093837;206.50415410623995]
Order : lmp,364,384,[-22.127367591703752;218.481462510068]
Order : lmp,364,384,[-21.737259487490174;230.3930223619973]
Order : lmp,364,384,[-21.524214653731057;242.6080897380408]
Order : lmp,364,384,[-21.026153428724417;254.60237263951328]
Order : lmp,364,384,[-20.88344080564039;266.57876652342543]
Order : lmp,364,384,[-20.433419479265762;278.5776486479525]
Order : lmp,364,384,[-20.216767395182757;290.55108421679824]
Order : lmp,364,384,[-20.02770518754386;302.61094705085384]
Order : lmp,364,384,[-19.607950069047256;314.6597520847052]
Order : lmp,364,384,[-19.40291302600108;326.511099365906]
Order : lmp,364,384,[-19.056371372708618;338.3617968063771]
Order : lmp,364,384,[-19.009132499594614;350.507521155541]
Order : miso,364,384,[-0.9663120199784316;null]
Order : default broker,364,384,[-4.969690000000001;23.334944688236817]
Order : Sample,364,384,[39.83479118587636;-10.402799710995916]
ClearedTrade : 365,384,[0.9663120199784316;8.668999759163263]
Order : buyer,365,384,[36.87145470374409;-13.560625801651046]
Order : lmp,365,384,[-96.9866615902161;33.47188186575345]
Order : lmp,365,384,[-85.92772297068976;39.470640844121746]
Order : lmp,365,384,[-78.90675999765662;45.3242266255539]
Order : lmp,365,384,[-29.717813635350623;62.56583625684385]
Order : lmp,365,384,[-28.760460257193245;74.38051347637702]
Order : lmp,365,384,[-27.84653259169491;86.54642659445555]
Order : lmp,365,384,[-27.26626543620105;98.4770956312919]
Order : lmp,365,384,[-26.819780221292422;110.39984419699984]
Order : lmp,365,384,[-26.065797751151713;122.61499892500018]
Order : lmp,365,384,[-25.39918886026449;134.4585752604294]
Order : lmp,365,384,[-24.83376366874378;146.5075741518458]
Order : lmp,365,384,[-24.326102115936553;158.65587934140578]
Order : lmp,365,384,[-23.567716324161246;170.61426874338062]
Order : lmp,365,384,[-23.307538116682892;182.51937789310725]
Order : lmp,365,384,[-22.93082485609089;194.49406311229848]
Order : lmp,365,384,[-22.3749178516063;206.20643146995096]
Order : lmp,365,384,[-22.052258821859393;218.28496880778727]
Order : lmp,365,384,[-21.753697466660824;230.16284087284248]
Order : lmp,365,384,[-21.465443794680283;242.11475600119763]
Order : lmp,365,384,[-21.0995020668634;254.22398438415175]
Order : lmp,365,384,[-20.608838047933034;266.2768680160166]
Order : lmp,365,384,[-20.434199371879966;278.2826822543884]
Order : lmp,365,384,[-20.37346155366347;289.99988646786693]
Order : lmp,365,384,[-19.980508581420636;302.10462766985376]
Order : lmp,365,384,[-19.517876493604305;314.1049193004413]
Order : lmp,365,384,[-19.283060367496596;326.2324532140445]
Order : lmp,365,384,[-19.174536157385518;338.0180207426021]
Order : lmp,365,384,[-18.897755488115116;349.9934166588573]
Order : miso,365,384,[-1.344262634325787;null]
Order : default broker,365,384,[-4.969690000000001;21.162579291472518]
Order : Sample,365,384,[38.86847916589793;-13.22975063047554]
ClearedTrade : 366,384,[1.344262634325787;11.300521501375872]
Order : buyer,366,384,[169.96370988284238;-2.941804461344453]
Order : lmp,366,384,[-96.9355882796011;33.42405994507178]
Order : lmp,366,384,[-86.6098569332491;39.480462548187255]
Order : lmp,366,384,[-79.27727443184386;45.5381163336697]
Order : lmp,366,384,[-29.573727816689413;63.22164573501501]
Order : lmp,366,384,[-28.83609461530019;74.88708828515033]
Order : lmp,366,384,[-27.946805761336883;86.93759117775483]
Order : lmp,366,384,[-27.49949562630316;98.85042250164875]
Order : lmp,366,384,[-26.599638761845544;111.06726325560454]
Order : lmp,366,384,[-26.065131883216466;122.91476814269843]
Order : lmp,366,384,[-25.28705786867345;135.03385327276217]
Order : lmp,366,384,[-24.793029944829364;146.9960584384848]
Order : lmp,366,384,[-24.124544737005362;158.98676996629885]
Order : lmp,366,384,[-23.88048073887982;170.94537972829062]
Order : lmp,366,384,[-23.44661408930068;182.93189237433867]
Order : lmp,366,384,[-23.026384940479705;194.82504509840558]
Order : lmp,366,384,[-22.59799949934989;206.9352263456656]
Order : lmp,366,384,[-22.3783222529285;219.12263018262666]
Order : lmp,366,384,[-21.56699028914155;231.19515084629813]
Order : lmp,366,384,[-21.47707536589084;243.04551193230984]
Order : lmp,366,384,[-21.220108197841068;255.20128761562583]
Order : lmp,366,384,[-20.724201215266767;267.36292042111927]
Order : lmp,366,384,[-20.56602460641971;279.0268957812763]
Order : lmp,366,384,[-19.99143606524625;291.1753023804476]
Order : lmp,366,384,[-19.885877355625983;303.15440290241514]
Order : lmp,366,384,[-19.57550519314331;315.17481835591013]
Order : lmp,366,384,[-19.308466021547353;327.0781945135954]
Order : lmp,366,384,[-18.97342285080992;339.0387762922019]
Order : lmp,366,384,[-18.962544074291444;350.70170555757284]
Order : miso,366,384,[-1.154898199424565;null]
Order : default broker,366,384,[-4.969690000000001;20.790586058751824]
Order : Sample,366,384,[38.86847916589793;-14.343854435900894]
ClearedTrade : 367,384,[1.154898199424565;11.953212029917413]
Order : buyer,367,384,[90.68515780781568;-5.513581407220174]
Order : lmp,367,384,[-97.00997895163036;33.32179937647009]
Order : lmp,367,384,[-86.04491525396682;39.33437813241842]
Order : lmp,367,384,[-79.17596743844375;45.34631188655192]
Order : lmp,367,384,[-29.630423587482404;62.78891925891717]
Order : lmp,367,384,[-28.673445621999736;74.75799077265451]
Order : lmp,367,384,[-28.014109476251633;86.55436455978794]
Order : lmp,367,384,[-27.36098143257163;98.61929175905898]
Order : lmp,367,384,[-26.447151146820442;110.63282057572937]
Order : lmp,367,384,[-25.86459838679707;122.56524683807243]
Order : lmp,367,384,[-25.406550204069333;134.68862406461096]
Order : lmp,367,384,[-24.995454188098577;146.61721137597104]
Order : lmp,367,384,[-24.31974459900201;158.67599635129878]
Order : lmp,367,384,[-23.84701910141954;170.61114942637138]
Order : lmp,367,384,[-23.44550785101166;182.4793110077118]
Order : lmp,367,384,[-22.747088337607483;194.487854723394]
Order : lmp,367,384,[-22.520815707604065;206.48948964352556]
Order : lmp,367,384,[-22.321856193097503;218.53281356932462]
Order : lmp,367,384,[-21.88874108956515;230.59228645982884]
Order : lmp,367,384,[-21.350288400857437;242.5934995839119]
Order : lmp,367,384,[-21.20935796187739;254.62961793756645]
Order : lmp,367,384,[-21.05779801146403;266.44650921654]
Order : lmp,367,384,[-20.361411340277307;278.81362603085324]
Order : lmp,367,384,[-20.080962613393524;290.74892882506674]
Order : lmp,367,384,[-19.998554816476148;302.6350693195093]
Order : lmp,367,384,[-19.615000190894406;314.81175941887113]
Order : lmp,367,384,[-19.46715036805492;326.92656527585495]
Order : lmp,367,384,[-19.019911321779105;338.8206186048145]
Order : lmp,367,384,[-18.80081102368108;350.524513700631]
Order : miso,367,384,[-1.7595209243788759;null]
Order : default broker,367,384,[-4.969690000000001;20.309675155690964]
Order : Sample,367,384,[45.72840006586491;-14.910422047632114]
ClearedTrade : 368,384,[1.7595209243788759;12.425351706360095]
Order : buyer,368,384,[36.662102838426655;-13.638061139142705]
Order : lmp,368,384,[-97.64382237277705;33.261937794839874]
Order : lmp,368,384,[-86.8648432370814;39.62778653619722]
Order : lmp,368,384,[-78.46765164951499;45.61896096545411]
Order : lmp,368,384,[-29.381553899207;62.94873436032743]
Order : lmp,368,384,[-28.697719147490407;74.93004476595799]
Order : lmp,368,384,[-27.996134877090416;86.72914190192165]
Order : lmp,368,384,[-27.289278950775028;98.68355564974502]
Order : lmp,368,384,[-26.521017729232746;110.94438166971227]
Order : lmp,368,384,[-26.026085232677314;122.74280324687675]
Order : lmp,368,384,[-25.513821718363523;134.83346640480806]
Order : lmp,368,384,[-24.90607565459383;146.8269119903369]
Order : lmp,368,384,[-24.44312598537361;158.96256245253971]
Order : lmp,368,384,[-23.807692830540198;171.0536972844614]
Order : lmp,368,384,[-23.1529315322006;183.10671608751528]
Order : lmp,368,384,[-22.927344753164714;195.05964849242562]
Order : lmp,368,384,[-22.433695914324918;206.91694285088005]
Order : lmp,368,384,[-21.950678145104046;218.72621158459074]
Order : lmp,368,384,[-21.815693084969137;230.87518249869427]
Order : lmp,368,384,[-21.352370361982945;242.8915901857663]
Order : lmp,368,384,[-21.100190772875013;254.83530705309428]
Order : lmp,368,384,[-20.86592164098241;266.60555288154757]
Order : lmp,368,384,[-20.587403263791238;278.58333862010915]
Order : lmp,368,384,[-20.332222541838416;290.79074785558817]
Order : lmp,368,384,[-19.854988992172878;302.89475945941444]
Order : lmp,368,384,[-19.749779330376445;314.953204500748]
Order : lmp,368,384,[-19.33166487943752;326.6869578540857]
Order : lmp,368,384,[-19.072587908502403;339.0183047026245]
Order : lmp,368,384,[-18.941950458446343;350.93607138794374]
Order : miso,368,384,[-1.3422297170484399;null]
Order : default broker,368,384,[-4.969690000000001;18.531888415439013]
Order : Sample,368,384,[43.968879141486035;-22.24531687517842]
ClearedTrade : 369,384,[6.311919717048441;19.458482836210965]
Order : buyer,369,384,[24.22486479748969;-20.63995007525543]
Order : lmp,369,384,[-96.88341339342216;33.439702828830185]
Order : lmp,369,384,[-86.08795557545925;39.333031437689755]
Order : lmp,369,384,[-78.76222950036514;45.51801364643815]
Order : lmp,369,384,[-29.584785595877033;62.562442766618446]
Order : lmp,369,384,[-28.70716770883984;74.36441989305952]
Order : lmp,369,384,[-28.05808229318233;86.39623011387472]
Order : lmp,369,384,[-27.58954932449404;98.17992458860253]
Order : lmp,369,384,[-26.48754405215355;110.60997406426381]
Order : lmp,369,384,[-26.1364462256913;122.66797747668407]
Order : lmp,369,384,[-25.575652419903165;134.54136057700586]
Order : lmp,369,384,[-24.883716902189033;146.7290264480222]
Order : lmp,369,384,[-24.37210845228137;158.5909300715415]
Order : lmp,369,384,[-23.995560487172774;170.82798378302888]
Order : lmp,369,384,[-23.335892594784923;182.65089627320398]
Order : lmp,369,384,[-22.95728348087954;194.6908877043182]
Order : lmp,369,384,[-22.60932206121211;206.6701825191588]
Order : lmp,369,384,[-22.140198335946025;218.58662845693192]
Order : lmp,369,384,[-21.943389823097668;230.95924887777238]
Order : lmp,369,384,[-21.335906379932652;242.96342849347616]
Order : lmp,369,384,[-21.08217377456194;254.92067985706515]
Order : lmp,369,384,[-20.776920424367702;266.9075519243008]
Order : lmp,369,384,[-20.476548298143964;278.61138074439975]
Order : lmp,369,384,[-20.235505125778715;290.8979037653171]
Order : lmp,369,384,[-19.94514723823461;302.87985423297397]
Order : lmp,369,384,[-19.48188308682884;314.9578401530081]
Order : lmp,369,384,[-19.41327518707478;326.7815776462507]
Order : lmp,369,384,[-19.244514480183156;338.70356114059797]
Order : lmp,369,384,[-19.01766219708122;350.76746691490575]
Order : miso,369,384,[-1.415416806499593;null]
Order : Sample,369,384,[37.656959424437595;-25.781452884350113]
ClearedTrade : 370,384,[1.415416806499593;21.48454407029176]
Order : buyer,370,384,[45.34806573030083;-11.025828598151392]
Order : lmp,370,384,[-96.59451734860555;33.56116568440703]
Order : lmp,370,384,[-86.1422334643245;39.6138849250743]
Order : lmp,370,384,[-79.03852591404917;45.33133444390335]
Order : lmp,370,384,[-29.54880525121867;62.502968185315645]
Order : lmp,370,384,[-28.786969296733385;74.49123801267186]
Order : lmp,370,384,[-28.16103326016421;86.54047360285111]
Order : lmp,370,384,[-27.38768343681746;98.40516356858973]
Order : lmp,370,384,[-26.676515341418064;110.44854353068577]
Order : lmp,370,384,[-25.867320942186502;122.43620401272628]
Order : lmp,370,384,[-25.469632724456794;134.4504723467156]
Order : lmp,370,384,[-24.96785811879567;146.5549303553387]
Order : lmp,370,384,[-24.479450781323823;158.69870850899497]
Order : lmp,370,384,[-23.884694396888168;170.68710650692077]
Order : lmp,370,384,[-23.19832007317921;182.98376264217313]
Order : lmp,370,384,[-23.20917670580853;194.70401426808465]
Order : lmp,370,384,[-22.53040884094165;206.86790928869584]
Order : lmp,370,384,[-22.107658561860518;218.76332383785498]
Order : lmp,370,384,[-21.90221678894798;230.6492806888519]
Order : lmp,370,384,[-21.473579677683357;242.8936584947129]
Order : lmp,370,384,[-21.07344862488161;254.82469405941842]
Order : lmp,370,384,[-20.937620001702495;266.6863574526144]
Order : lmp,370,384,[-20.455154077059184;278.974737536848]
Order : lmp,370,384,[-20.17304363868363;290.78858879444834]
Order : lmp,370,384,[-19.985267550847787;302.99210092859516]
Order : lmp,370,384,[-19.715109031694983;314.9082620863898]
Order : lmp,370,384,[-19.47478174841815;326.9457779633047]
Order : lmp,370,384,[-19.106147361872722;339.10441381967297]
Order : lmp,370,384,[-18.905444726505117;350.91690660771604]
Order : miso,370,384,[-1.3883769014829568;null]
Order : Sample,370,384,[36.241542617938;-27.6856620886823]
ClearedTrade : 371,384,[1.3883769014829568;23.07138507390192]
Order : buyer,371,384,[60.95141487702146;-8.203255018916694]
Order : lmp,371,384,[-96.81188712742019;33.53054818025338]
Order : lmp,371,384,[-85.79253380688884;39.32842230036055]
Order : lmp,371,384,[-78.60373427442111;45.18206333055598]
Order : lmp,371,384,[-29.797245267052052;62.37882474037566]
Order : lmp,371,384,[-28.577541735243255;74.13892177596415]
Order : lmp,371,384,[-28.173126583426015;86.16066812225712]
Order : lmp,371,384,[-27.18371444072385;98.41658384988968]
Order : lmp,371,384,[-26.748580948013082;110.20189307262035]
Order : lmp,371,384,[-26.15267894035514;122.37887952974485]
Order : lmp,371,384,[-25.47054072010758;134.37609474231013]
Order : lmp,371,384,[-24.841226371449157;146.50203556021236]
Order : lmp,371,384,[-24.41881941772436;158.16528138847883]
Order : lmp,371,384,[-24.132646662299514;170.44634108954767]
Order : lmp,371,384,[-23.32547177515387;182.71969979301997]
Order : lmp,371,384,[-23.063852572643246;194.41743557942675]
